"product_category_name","ranking","seller_id","seller_city","seller_state","total_ordenes","precio_promedio","costo_envio_promedio"
informatica_acessorios,7,"87142160b41353c4e5fca2360caf6f92",porto alegre,RS,246,96.98,21.45
informatica_acessorios,8,f457c46070d02cadd8a68551231220dd,maringa,PR,199,81.59,15.87
informatica_acessorios,9,e9bc59e7b60fc3063eb2290deda4cced,maringa,PR,172,124.81,17.73
informatica_acessorios,10,"0b90b6df587eb83608a64ea8b390cf07",maringa,PR,164,136.15,17.22
instrumentos_musicais,1,f5a590cf36251cf1162ea35bef76fe84,sao bernardo do campo,SP,101,374.05,33.53
instrumentos_musicais,2,"6d66611d7c44cc30ce351abc49a68421",sao paulo,SP,96,79.64,19.0
instrumentos_musicais,3,ce248b21cb2adc36282ede306b7660e5,jaragua do sul,SC,42,174.17,26.17
instrumentos_musicais,4,"83deb69e889cf80f82be1dc6d5f2d486",florianopolis,SC,40,127.69,21.75
instrumentos_musicais,5,d23019c84ffae2d5ef2270367b8605fc,londrina,PR,39,748.85,70.51
instrumentos_musicais,6,"7b0df942f46435babab05d49b744b2c4",braganca paulista,SP,31,717.47,21.09
instrumentos_musicais,7,"955fee9216a65b617aa5c0531780ce60",sao paulo,SP,23,92.5,14.53
livros_importados,1,"7c5b05cbdb5542049f38d90d7815b97d",sao paulo,SP,22,43.29,12.77
livros_interesse_geral,1,"527801b552d0077ffd170872eb49683b",garca,SP,85,204.55,22.15
livros_interesse_geral,2,"669ae81880e08f269a64487cfb287169",rio do sul,SC,55,114.74,19.22
livros_interesse_geral,3,"83e197e95a1bbabc8c75e883ed016c47",mage,RJ,45,125.37,18.34
livros_interesse_geral,4,f0b47fbbc6dee9aafe415a6e33051b3f,maua,SP,43,45.88,14.72
livros_interesse_geral,5,"1bb2bdb95f4841f1bba2c0d2cd83d3c9",sao paulo,SP,36,32.27,12.04
livros_tecnicos,1,ba143b05f0110f0dc71ad71b4466ce92,sao paulo,SP,78,69.62,15.61
livros_tecnicos,2,"5f3ae9136c875522250f8184f253413a",sao paulo,SP,40,25.69,13.89
livros_tecnicos,3,"0ffa40d54288e4f3499b8780dd0f144f",presidente prudente,SP,30,62.99,16.81
malas_acessorios,1,dbc22125167c298ef99da25668e1011f,borda da mata,MG,260,77.17,18.75
malas_acessorios,2,"5dceca129747e92ff8ef7a997dc4f8ca",santa barbara d´oeste,SP,184,153.92,45.33
malas_acessorios,3,"6cd68b3ed6d59aaa9fece558ad360c0a",belo horizonte,MG,96,80.99,16.33
malas_acessorios,4,"7ddcbb64b5bc1ef36ca8c151f6ec77df",sao paulo,SP,36,242.71,54.15
malas_acessorios,5,f262cbc1c910c83959f849465454ddd3,sao paulo,SP,34,41.02,14.98
malas_acessorios,6,"0be8ff43f22e456b4e0371b2245e4d01",sao paulo,SP,33,115.0,13.8
malas_acessorios,7,b1a81260566c1bac3114a6d124413f27,carazinho,RS,32,176.08,31.02
malas_acessorios,8,"02f5837340d7eb4f653d676c7256523a",curitiba,PR,30,129.44,19.36
