"product_category_name","seller_id","seller_city","seller_state","total_ordenes","precio_promedio","costo_envio_promedio","costo_total_promedio"
beleza_saude,abcd2cb37d46c2c8fb1bf071c859fc5b,cuiaba,MT,45,93.85,25.39,119.24
beleza_saude,bccf933e006e9b94a6184af782963e77,assis,SP,45,90.49,19.23,109.72
beleza_saude,"709e16e2b25c7474d980076c6bfc4806",birigui,SP,44,69.66,15.25,84.91
beleza_saude,"70a12e78e608ac31179aea7f8422044b",jacarei,SP,44,103.55,22.82,126.37
beleza_saude,c9aafcd0621b2207c10e32c649cada4d,sao paulo,SP,44,57.64,17.09,74.73
beleza_saude,b18dc380845b24038cfc48006478f099,diadema,SP,43,150.25,16.59,166.84
beleza_saude,abe42c5d03695b4257b5c6cbf4e6784e,rio de janeiro,RJ,41,321.66,20.44,342.1
beleza_saude,ad420dd0c4f92f8af951ac24b86d0cf5,fronteira,MG,41,98.34,19.86,118.2
beleza_saude,e5a38146df062edaf55c38afa99e42dc,sao paulo,SP,41,182.67,17.72,200.39
beleza_saude,"4371b634e0efc0e22b09b52907d9d469",sao paulo,SP,38,36.25,11.65,47.9
beleza_saude,e24fc9fcd865784fb25705606fe3dfe7,braganca paulista,SP,38,230.92,20.19,251.11
beleza_saude,"6df688df543f90e9b38f4319e75a9d88",belo horizonte,MG,36,37.53,13.84,51.38
beleza_saude,b56906f7fd1696e043f1bcce164c487b,echapora,SP,36,49.3,20.69,69.99
beleza_saude,bf84056e679dbe9c69929847a40e338f,sao paulo,SP,35,50.09,11.4,61.49
beleza_saude,fad44952713764836814be105382aee5,rio de janeiro,RJ,32,160.28,15.87,176.15
beleza_saude,"36a968b544695394e4e9d7572688598f",santos,SP,31,72.17,14.05,86.22
beleza_saude,"2a84855fd20af891be03bc5924d2b453",belo horizonte,MG,30,37.32,16.46,53.78
beleza_saude,"6e386f64c84e482f0b9abf960797ee1b",sao paulo,SP,30,431.28,20.85,452.12
beleza_saude,"729b2d09b2a0bdab221076327f13d050",mineiros do tiete,SP,30,32.88,15.71,48.59
beleza_saude,"56642bcb79900e777d68e91915cb4267",sao paulo,SP,29,97.86,15.88,113.74
beleza_saude,"8b2492b7ff4468839593fafeed55bad9",sao goncalo,RJ,29,81.34,15.03,96.36
beleza_saude,"4c498c7345e89aebad651544829beca0",carapicuiba,SP,28,67.62,11.84,79.46
beleza_saude,"6ec1a01e866584bb679eb9b098345919",santos,SP,28,142.79,27.01,169.8
beleza_saude,a5cba26a62b8b4d0145b68b841e62e7f,campo mourao,PR,28,160.11,20.03,180.14
beleza_saude,b2ac621f0d0322434d04a12b078b9369,curitiba,PR,28,309.48,26.45,335.94
beleza_saude,"0ef83d7d83ed97cd2a0049ac8be5f88a",curitiba,PR,27,56.42,15.6,72.01
beleza_saude,"4e17c65a516f69d023a2ae78b84f28d6",suzano,SP,27,118.32,16.48,134.8
beleza_saude,"1da3aeb70d7989d1e6d9b0e887f97c23",sao paulo,SP,25,32.48,11.52,43.99
beleza_saude,"7f7b8245c336066a1f9933c359f11d77",mogi mirim,SP,25,51.11,11.52,62.64
beleza_saude,"40d54b51e962dbe09cabbcfd33298dee",santo andre,SP,24,275.7,19.89,295.59
beleza_saude,"5debea795b07621e1f90532e18f96145",apucarana,PR,24,47.34,15.27,62.61
beleza_saude,b90e891671cffd9557f33a97dc523645,sao jose dos pinhais,PR,24,116.26,16.1,132.36
beleza_saude,"916c9de0b5ad957346eeeb12f332687e",curitiba,PR,23,195.72,17.63,213.35
beleza_saude,b83cedfb587e7911540e3f576d6917ce,sao paulo,SP,23,92.29,14.0,106.29
beleza_saude,"093805f8f2aeb63881444571e1f48f30",osasco,SP,22,45.03,12.74,57.77
beleza_saude,f8db351d8c4c4c22c6835c19a46f01b0,salto,SP,22,95.31,17.66,112.97
beleza_saude,fb89df7f89fd1b8f03fa2acca1ba7364,foz do iguacu,PR,22,88.8,18.7,107.5
beleza_saude,"5f1dc28029d2c244352a68107ec2b542",sao paulo,SP,21,28.08,11.89,39.97
beleza_saude,"679769a98cfcc6da877c8486ff1c13f3",ipatinga,MG,21,334.71,20.88,355.59
beleza_saude,"6b15924333bd1a741595fe981ea04822",sao caetano do sul,SP,21,29.25,11.44,40.69
brinquedos,"46dc3b2cc0980fb8ec44634e21d2718e",rio de janeiro,RJ,358,216.03,18.86,234.9
brinquedos,fa40cc5b934574b62717c68f3d678b6d,sao paulo,SP,277,46.49,13.6,60.09
brinquedos,"3d871de0142ce09b7081e2b9d1733cb1",campo limpo paulista,SP,230,51.11,16.0,67.11
brinquedos,"7aa4334be125fcdd2ba64b3180029f14",laranjal paulista,SP,172,67.97,18.93,86.9
brinquedos,"850f4f8af5ea87287ac68de36e29107f",sao paulo,SP,114,165.42,15.11,180.52
brinquedos,a3a38f4affed601eb87a97788c949667,joinville,SC,107,100.52,20.02,120.54
brinquedos,"725c32fa80c2faacc4fc88450d27314e",sao paulo,SP,86,84.07,14.27,98.34
brinquedos,de23c3b98a88888289c6f5cc1209054a,sao paulo,SP,85,145.22,14.75,159.96
brinquedos,a49928bcdf77c55c6d6e05e09a9b4ca5,sao paulo,SP,83,85.83,17.11,102.95
brinquedos,ac3508719a1d8f5b7614b798f70af136,canoas,RS,83,124.42,30.66,155.08
brinquedos,"0432ead42b6c8a0bdf68154add917fdf",maua,SP,81,88.34,13.47,101.82
brinquedos,"25e6ffe976bd75618accfe16cefcbd0d",sao paulo,SP,81,92.7,14.82,107.51
brinquedos,"7299e27ed73d2ad986de7f7c77d919fa",araguari,MG,80,158.17,21.38,179.55
brinquedos,"9d4db00d65d7760644ac0c14edb5fd86",sorocaba,SP,66,96.14,16.99,113.13
brinquedos,"5f2684dab12e59f83bef73ae57724e45",sao paulo,SP,63,127.29,15.81,143.1
brinquedos,b2ba3715d723d245138f291a6fe42594,sao paulo,SP,59,161.98,22.53,184.51
brinquedos,f8db351d8c4c4c22c6835c19a46f01b0,salto,SP,51,78.96,22.04,100.99
brinquedos,"4a3ca9315b744ce9f8e9374361493884",ibitinga,SP,49,59.84,15.6,75.44
brinquedos,"4c03b9dd4c11ee2cb35c96c49efc9420",campo limpo paulista,SP,48,134.55,17.58,152.13
brinquedos,"8f119a0aee85c0c8fc534629734e94fd",barueri,SP,48,53.32,13.41,66.73
brinquedos,d98eec89afa3380e14463da2aabaea72,porto alegre,RS,48,52.75,18.49,71.23
brinquedos,"406822777a0b9eb5c50e442dd4cd3ec5",tatui,SP,44,76.05,20.34,96.39
brinquedos,"1da3aeb70d7989d1e6d9b0e887f97c23",sao paulo,SP,41,23.42,14.11,37.53
brinquedos,bfd27a966d91cfaafdb25d076585f0da,serra negra,SP,36,105.33,22.55,127.88
brinquedos,dd533b429f380718b70ad9922c294bae,barretos,SP,35,69.29,26.96,96.25
brinquedos,"5160d23075764e18e07c1f4a87fad743",sao bernardo do campo,SP,34,62.28,12.47,74.75
brinquedos,"76d64c4aca3a7baf218bf93ef7fa768d",curitiba,PR,32,315.34,79.42,394.76
brinquedos,adbc26658d6c7b4b6219f9d934598091,curitiba,PR,32,138.2,19.87,158.07
brinquedos,"0bae85eb84b9fb3bd773911e89288d54",itajai,SP,31,38.29,19.29,57.58
brinquedos,ff1fb4c404b2efe68b03350a8dc24122,mogi das cruzes,SP,31,134.25,17.01,151.26
brinquedos,"3c4e0452bff7a2a788179488d3d77032",colombo,PR,30,106.46,16.99,123.45
brinquedos,bacb1f0ed56ad24198f5810d2b3fe9a5,jacarei,SP,30,161.17,20.16,181.33
brinquedos,fde0cc9ea29c8ccfc0a2c22256a58c71,curitiba,PR,27,110.37,27.84,138.21
brinquedos,d9a84e1403de8da0c3aa531d6d108ba6,sao paulo,SP,26,28.44,13.63,42.07
brinquedos,f00e21b1e91a79653163b7fd8f293ff1,andradas,SP,26,123.25,17.94,141.19
brinquedos,a673821011d0cec28146ea42f5ab767f,sao paulo,SP,25,86.63,13.58,100.21
brinquedos,c8b3445d737de6befde0c88ede534a5e,sao paulo,SP,25,109.58,21.12,130.7
brinquedos,"1caf283236cd69af44cbc09a0a1e7d32",nova iguacu,RJ,24,22.15,16.54,38.69
brinquedos,"2c9e548be18521d1c43cde1c582c6de8",mogi das cruzes,SP,24,75.78,15.29,91.08
brinquedos,"48436dade18ac8b2bce089ec2a041202",volta redonda,SP,24,143.01,21.37,164.38
brinquedos,"3078096983cf766a32a06257648502d1",scao jose do rio pardo,SP,23,97.38,17.6,114.98
brinquedos,b94cc9f10ddc85e4ba73a6f7974e7101,macae,RJ,23,675.99,28.76,704.75
brinquedos,"71039d19d4303bf9054d69e9a9236699",sao paulo,SP,22,29.34,12.44,41.78
brinquedos,"1554a68530182680ad5c8b042c3ab563",monte siao,MG,21,67.28,18.76,86.03
brinquedos,"42bde9fef835393bb8a8849cb6b7f245",brasilia,DF,21,173.71,19.58,193.29
cama_mesa_banho,"4a3ca9315b744ce9f8e9374361493884",ibitinga,SP,1459,105.1,17.96,123.06
cama_mesa_banho,da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,1074,119.27,17.2,136.47
cama_mesa_banho,d2374cbcbb3ca4ab1086534108cc3ab7,ibitinga,SP,497,33.95,15.04,48.99
cama_mesa_banho,"1835b56ce799e6a4dc4eddc053f04066",ibitinga,SP,418,59.78,15.69,75.47
cama_mesa_banho,"1900267e848ceeba8fa32d80c1a5f5a8",ibitinga,SP,405,46.49,15.42,61.91
cama_mesa_banho,"8160255418d5aaa7dbdc9f4c64ebda44",ibitinga,SP,380,108.9,18.1,127.0
cama_mesa_banho,"37be5a7c751166fbc5f8ccba4119e043",sao paulo,SP,268,196.94,21.7,218.65
cama_mesa_banho,"391fc6631aebcf3004804e51b40bcf1e",ibitinga,SP,256,51.36,15.2,66.56
cama_mesa_banho,cca3071e3e9bb7d12640c9fbe2301306,ibitinga,SP,227,106.36,20.25,126.6
cama_mesa_banho,dc4a0fc896dc34b0d5bfec8438291c80,ibitinga,SP,214,100.32,18.77,119.09
cama_mesa_banho,d1c281d3ae149232351cd8c8cc885f0d,ibitinga,SP,209,108.62,21.52,130.14
cama_mesa_banho,"1c129092bf23f28a5930387c980c0dfc",sao paulo,SP,198,43.29,13.8,57.09
cama_mesa_banho,"1a3df491d1c4f1589fc2b934ada68bf2",joinville,SC,167,130.91,24.11,155.02
cama_mesa_banho,"41b39e28db005d9731d9d485a83b4c38",santo andre,SP,153,78.54,16.55,95.09
cama_mesa_banho,"7ad32824caee82087b3e2e5f33b1bf32",ibitinga,SP,151,122.31,19.27,141.58
cama_mesa_banho,"004c9cd9d87a3c30c522c48c4fc07416",ibitinga,SP,147,112.92,19.28,132.2
cama_mesa_banho,cfb1a033743668a192316f3c6d1d2671,votorantim,SP,147,69.58,18.66,88.24
cama_mesa_banho,"259f7b5e6e482c230e5bfaa670b6bb8f",poa,SP,130,50.74,16.0,66.74
cama_mesa_banho,a3e9a2c700480d9bb01fba070ba80a0e,ibitinga,SP,127,93.37,20.07,113.45
cama_mesa_banho,"1e8b33f18b4f7598d87f5cbee2282cc2",sao paulo,SP,123,123.64,19.3,142.94
cama_mesa_banho,"0c8380b62e38e8a1e6adbeba7eb9688c",tres coracoes,MG,122,77.5,17.97,95.48
cama_mesa_banho,"640e21a7d01df7614a3b4923e990d40c",ibitinga,SP,116,55.47,17.86,73.32
cama_mesa_banho,"00ee68308b45bc5e2660cd833c3f81cc",sao paulo,SP,113,122.67,15.01,137.68
cama_mesa_banho,c33847515fa6305ce6feb1e818569f13,brusque,SC,113,122.01,34.3,156.31
cama_mesa_banho,"3b15288545f8928d3e65a8f949a28291",ibitinga,SP,101,116.03,20.36,136.39
cama_mesa_banho,b2479f944e1b90cf8a5de1bbfde284d6,ibitinga,SP,101,36.93,16.42,53.35
cama_mesa_banho,"33a6f4b1e7cdc205511e76ba1b6e0186",guarulhos,SP,94,83.31,14.99,98.29
cama_mesa_banho,a673821011d0cec28146ea42f5ab767f,sao paulo,SP,94,95.16,18.83,113.99
cama_mesa_banho,"609e1a9a6c2539919b8205cf7c4e6ff0",brusque,SC,85,51.28,20.74,72.02
cama_mesa_banho,"972d0f9cf61b499a4812cf0bfa3ad3c4",brusque,SC,83,91.92,24.45,116.37
cama_mesa_banho,dd2bdf855a9172734fbc3744021ae9b9,belo horizonte,MG,83,102.83,18.11,120.94
cama_mesa_banho,"54965bbe3e4f07ae045b90b0b8541f52",foz do iguacu,PR,78,127.46,25.62,153.08
cama_mesa_banho,"8a432f4e5b471f8da497d7dc517666e2",presidente prudente,SP,77,75.1,18.71,93.81
cama_mesa_banho,"17ca9b9e9b9ef8fdb529001b49ebb50f",betim,MG,75,61.11,18.52,79.64
cama_mesa_banho,f7ccf836d21b2fb1de37564105216cc1,ibitinga,SP,68,37.74,15.14,52.88
cama_mesa_banho,"6fd52c528dcb38be2eea044946b811f8",sao paulo,SP,67,92.18,13.55,105.73
cama_mesa_banho,"822166ed1e47908f7cfb49946d03c726",tres rios,RJ,66,36.03,17.57,53.61
cama_mesa_banho,"2528513dd95219a6013d4d05176e391a",osasco,SP,64,75.71,16.86,92.56
cama_mesa_banho,cce6ab8d1682639fe45ab70234f1665f,curitiba,SP,63,38.22,17.69,55.91
cama_mesa_banho,"602044f2c16190c2c6e45eb35c2e21cb",ibitinga,SP,50,65.6,16.46,82.06
