"product_category_name","ranking","seller_id","seller_state","ordenes_vendedor","precio_promedio_vendedor","porcentaje_demanda"
cool_stuff,3,"7ddcbb64b5bc1ef36ca8c151f6ec77df",SP,172,162.07,4.74
cool_stuff,4,"12b9676b00f60f3b700e83af21824c0e",RS,132,199.37,3.63
cool_stuff,5,"955fee9216a65b617aa5c0531780ce60",SP,115,34.89,3.17
dvds_blu_ray,1,"75fbb52eda0cbc24f479d3b2fbfa8d3e",GO,40,26.3,67.8
dvds_blu_ray,2,ba143b05f0110f0dc71ad71b4466ce92,SP,5,83.99,8.47
dvds_blu_ray,3,"039b29ff3b3473435d0cd59040575de9",SP,4,8.9,6.78
dvds_blu_ray,4,"2138ccb85b11a4ec1e37afbd1c8eda1f",SP,2,39.99,3.39
dvds_blu_ray,5,"42ef3192a9ff87a22d1867b74b3ee205",SP,2,72.5,3.39
eletrodomesticos,1,d91fb3b7d041e83b64a00a3edfb37e4f,SP,500,71.34,65.45
eletrodomesticos,2,"4559697a8f7e637227c2eeaed843baff",SP,36,69.9,4.71
eletrodomesticos,3,f8db351d8c4c4c22c6835c19a46f01b0,SP,34,32.82,4.45
eletrodomesticos,4,"9674754b5a0cb32b638cec001178f799",SP,24,59.1,3.14
eletrodomesticos,5,a2deecd5398f5df4987110c80a1972a3,SP,15,52.5,1.96
eletrodomesticos_2,1,e882b2a25a10b9c057cc49695f222c19,RJ,34,1127.68,14.53
eletrodomesticos_2,2,"4917cee8d902e13428c3ec4b1ca6f315",SC,29,166.96,12.39
eletrodomesticos_2,3,"13d058e4eeac2ce8217660b2f8a05812",SP,23,166.51,9.83
eletrodomesticos_2,4,"01cf7e3d21494c41fb86034f2e714fa1",PR,13,260.73,5.56
eletrodomesticos_2,5,f62d7bb4a613ec758a03342d46b580b2,MG,13,775.0,5.56
eletronicos,1,"8b321bb669392f5163d04c59e235e066",SP,850,15.58,33.33
eletronicos,2,"128639473a139ac0f3e5f5ade55873a5",PR,516,20.56,20.24
eletronicos,3,"5656537e588803a555b8eb41f07a944b",DF,84,21.67,3.29
eletronicos,4,"2e90cb1677d35cfe24eef47d441b7c87",SP,81,96.76,3.18
eletronicos,5,dbd66278cbfe1aa1000f90a217ca4695,SP,67,50.67,2.63
eletroportateis,1,"4e7c18b98d84e05cbae3ff0ff03846c2",SP,70,104.46,11.11
eletroportateis,2,"9674754b5a0cb32b638cec001178f799",SP,57,45.77,9.05
eletroportateis,3,cc3d14116804f7209f3884f6367f1152,PR,25,199.19,3.97
eletroportateis,4,"6a8a889bde935bafa76d7848782dfaf9",SP,20,29.5,3.17
eletroportateis,5,"59417c56835dd8e2e72f91f809cd4092",SP,18,2025.5,2.86
esporte_lazer,1,"218d46b86c1881d022bce9c68a7d4b15",SP,374,131.84,4.84
esporte_lazer,2,"4d6d651bd7684af3fffabd5f08d12e5a",SP,362,108.77,4.69
esporte_lazer,3,c3cfdc648177fdbbbb35635a37472c53,PR,276,138.98,3.58
esporte_lazer,4,e9779976487b77c6d4ac45f75ec7afe9,SP,276,67.85,3.58
esporte_lazer,5,"4c2b230173bb36f9b240f2b8ac11786e",SP,260,42.21,3.37
fashion_bolsas_e_acessorios,1,"6560211a19b47992c3666cc44a7e94c0",SP,325,53.17,17.44
fashion_bolsas_e_acessorios,2,"0ea22c1cfbdc755f86b9b54b39c16043",MG,217,40.32,11.64
fashion_bolsas_e_acessorios,3,cab85505710c7cb9b720bceb52b01cee,SP,206,54.49,11.05
fashion_bolsas_e_acessorios,4,e5a3438891c0bfdb9394643f95273d8e,SP,148,30.87,7.94
fashion_bolsas_e_acessorios,5,"643214e62b870443ccbe55ab29a4dccf",SP,65,49.25,3.49
fashion_calcados,1,"7142540dd4c91e2237acb7e911c4eba2",SP,92,90.06,38.33
fashion_calcados,2,"827f8f69dfa529c561901c4f2e0f332f",PR,66,32.32,27.5
fashion_calcados,3,"048c2757535328e0d7dac690ad3c0aae",SP,51,181.66,21.25
fashion_calcados,4,"013900e863eace745d3ec7614cab5b1a",PR,14,66.2,5.83
fashion_calcados,5,"02c988090b766852e088c69d7fb3b551",SP,4,161.55,1.67
fashion_esporte,1,e7df4cd29ab5abab70fb0783ddb53987,SP,12,72.4,44.44
fashion_esporte,2,"217f005bb37ff3aeef5b2ae1788e75ba",SP,3,24.99,11.11
fashion_esporte,3,"0be8ff43f22e456b4e0371b2245e4d01",SP,2,39.9,7.41
fashion_esporte,4,"5dceca129747e92ff8ef7a997dc4f8ca",SP,2,54.9,7.41
fashion_esporte,5,aaed1309374718fdd995ee4c58c9dfcd,SC,2,193.4,7.41
fashion_roupa_feminina,1,dc8798cbf453b7e0f98745e396cc5616,SP,13,44.19,33.33
fashion_roupa_feminina,2,b499c00f28f4b7069ff6550af8c1348a,SP,8,34.05,20.51
fashion_roupa_feminina,3,cca3071e3e9bb7d12640c9fbe2301306,SP,6,87.23,15.38
fashion_roupa_feminina,4,"7d948535954aaf8c5d39db007f74372e",SP,3,48.33,7.69
fashion_roupa_feminina,5,aaed1309374718fdd995ee4c58c9dfcd,SC,2,169.6,5.13
fashion_roupa_infanto_juvenil,1,d98eec89afa3380e14463da2aabaea72,RS,3,39.99,37.5
fashion_roupa_infanto_juvenil,2,"28ea411b354f14b1a494be4e79f0ce02",SP,2,110.0,25.0
fashion_roupa_infanto_juvenil,3,dbb9b48c841a0e39e21f98e1a6b2ec3e,SP,2,89.99,25.0
fashion_roupa_infanto_juvenil,4,"7fe21dd00d2f4943ae09525efa2fd674",RJ,1,49.9,12.5
fashion_roupa_masculina,1,aaed1309374718fdd995ee4c58c9dfcd,SC,31,110.01,27.68
fashion_roupa_masculina,2,dc8798cbf453b7e0f98745e396cc5616,SP,23,36.72,20.54
fashion_roupa_masculina,3,a3a38f4affed601eb87a97788c949667,SC,17,133.05,15.18
fashion_roupa_masculina,4,cca3071e3e9bb7d12640c9fbe2301306,SP,13,56.69,11.61
fashion_roupa_masculina,5,"835f0f7810c76831d6c7d24c7a646d4d",SP,9,95.35,8.04
fashion_underwear_e_moda_praia,1,a6fe7de3d16f6149ffe280349a8535a0,SP,51,55.86,42.15
fashion_underwear_e_moda_praia,2,"4bf2f4ee540798a61f9636d12cd9cc80",SP,26,156.85,21.49
fashion_underwear_e_moda_praia,3,a49928bcdf77c55c6d6e05e09a9b4ca5,SP,12,79.07,9.92
fashion_underwear_e_moda_praia,4,b1aaae6b66ad3c40f54b389d7ea4bee0,SP,11,64.38,9.09
fashion_underwear_e_moda_praia,5,"1e483cc5c76fef08d3ca05f9a8af7d01",SP,7,5.9,5.79
ferramentas_jardim,1,"1f50f920176fa81dab994f9023523100",SP,1378,54.8,39.17
ferramentas_jardim,2,a1043bafd471dff536d0c462352beb48,MG,399,128.16,11.34
ferramentas_jardim,3,"001cca7ae9ae17fb1caed9dfb1094831",ES,177,104.5,5.03
ferramentas_jardim,4,"1127b7f2594683f2510f1c2c834a486b",SP,107,53.22,3.04
ferramentas_jardim,5,"81a1104df0f08b59c68aa5b03cfe398e",PR,73,129.05,2.08
flores,1,"8bb48dc19fccaa8613b6229bf7f452a2",SP,20,23.19,68.97
flores,2,e62b2d6ac10570a035a30bafcf01d263,SP,8,56.98,27.59
flores,3,d7f1cfc638473be93baedbfd02208016,RJ,1,30.0,3.45
fraldas_higiene,1,"218d46b86c1881d022bce9c68a7d4b15",SP,12,39.33,44.44
fraldas_higiene,2,"270d3ef21830ad0ecf3a6c53d08a533a",SP,6,28.28,22.22
fraldas_higiene,3,"7f35f9daf223da737b78738fbae4d977",SP,3,60.0,11.11
fraldas_higiene,4,e3dd723429d1b23614b7fa85e2c7a853,SP,2,30.0,7.41
fraldas_higiene,5,"1992f8fb6b19fcccd97ca819811e7267",SP,1,28.8,3.7
industria_comercio_e_negocios,1,"0dd184061fb0eaa7ca37932c68ab91c5",SP,92,88.06,39.15
industria_comercio_e_negocios,2,"955fee9216a65b617aa5c0531780ce60",SP,31,113.94,13.19
industria_comercio_e_negocios,3,"7681ef142fd2c19048da7430856b5588",SP,23,91.38,9.79
industria_comercio_e_negocios,4,"76d64c4aca3a7baf218bf93ef7fa768d",PR,19,152.25,8.09
industria_comercio_e_negocios,5,"0bb738e4d789e63e2267697c42d35a2d",SP,17,114.39,7.23
informatica_acessorios,1,"85d9eb9ddc5d00ca9336a2219c97bb13",MG,473,29.57,7.07
informatica_acessorios,2,"9f505651f4a6abe901a56cdc21508025",SP,342,65.48,5.11
informatica_acessorios,3,de722cd6dad950a92b7d4f82673f8833,PE,324,144.19,4.84
informatica_acessorios,4,a1043bafd471dff536d0c462352beb48,MG,323,137.65,4.83
informatica_acessorios,5,"897060da8b9a21f655304d50fd935913",SP,305,52.4,4.56
instrumentos_musicais,1,f5a590cf36251cf1162ea35bef76fe84,SP,101,374.05,16.08
instrumentos_musicais,2,"6d66611d7c44cc30ce351abc49a68421",SP,96,79.64,15.29
instrumentos_musicais,3,ce248b21cb2adc36282ede306b7660e5,SC,42,174.17,6.69
instrumentos_musicais,4,"83deb69e889cf80f82be1dc6d5f2d486",SC,40,127.69,6.37
instrumentos_musicais,5,d23019c84ffae2d5ef2270367b8605fc,PR,39,748.85,6.21
la_cuisine,1,c731d18cea9bf687ffee82a241c25b11,SC,12,148.85,92.31
la_cuisine,2,"3078096983cf766a32a06257648502d1",SP,1,119.99,7.69
livros_importados,1,"7c5b05cbdb5542049f38d90d7815b97d",SP,22,43.29,41.51
livros_importados,2,bc2ac6b95e1accce9858528ee566c17e,SP,18,92.95,33.96
livros_importados,3,"1bb2bdb95f4841f1bba2c0d2cd83d3c9",SP,9,65.43,16.98
livros_importados,4,"272f092de69afedd4d2969440b37f18f",SP,1,49.5,1.89
livros_importados,5,"5f0057b677eb963672bf05dfa3f16c34",SP,1,99.0,1.89
livros_interesse_geral,1,"527801b552d0077ffd170872eb49683b",SP,85,204.55,16.6
livros_interesse_geral,2,"669ae81880e08f269a64487cfb287169",SC,55,114.74,10.74
livros_interesse_geral,3,"83e197e95a1bbabc8c75e883ed016c47",RJ,45,125.37,8.79
livros_interesse_geral,4,f0b47fbbc6dee9aafe415a6e33051b3f,SP,43,45.88,8.4
livros_interesse_geral,5,"1bb2bdb95f4841f1bba2c0d2cd83d3c9",SP,36,32.27,7.03
livros_tecnicos,1,ba143b05f0110f0dc71ad71b4466ce92,SP,78,69.62,30.0
livros_tecnicos,2,"5f3ae9136c875522250f8184f253413a",SP,40,25.69,15.38
livros_tecnicos,3,"0ffa40d54288e4f3499b8780dd0f144f",SP,30,62.99,11.54
livros_tecnicos,4,"1bb2bdb95f4841f1bba2c0d2cd83d3c9",SP,15,172.15,5.77
livros_tecnicos,5,"2953ce3a88f5e3c3b696d77fc9e4c8eb",SP,13,30.79,5.0
malas_acessorios,1,dbc22125167c298ef99da25668e1011f,MG,260,77.17,25.15
malas_acessorios,2,"5dceca129747e92ff8ef7a997dc4f8ca",SP,184,153.92,17.79
